# athena_event_details,athena id,external id,datetime,time error,time rms,latitude,longitude,ellipse major,ellipse minor,magnitude,magnitude type,depth (km),depth error,num. stations,num. phases,azimuth gap,analysis type,place,major place,athena database id,error ellipse max axis length (km),error ellipse max axis azimuth (deg),error ellipse max axis dip (deg),error ellipse intermediate axis length (km),error ellipse intermediate axis azimuth (deg),error ellipse intermediate axis dip (deg),error ellipse min axis length (km),error ellipse min axis azimuth (deg),error ellipse min axis dip (deg),seismic moment (N.m),corner frequency (Hz),stress drop (MPa),source radius (km),moment tensor np1 dip,moment tensor np1 strike,moment tensor np1 rake,tags,updated at,moment tensor np2 dip,moment tensor np2 strike,moment tensor np2 rake,event source type,reference elevation (km),horizontal error (km)
athena_event_details,20230211-11,,2023-02-11T22:29:22Z,,1.63,35.8585,36.63333333333333,,,4.4,Ml,35.00,31.61,16,19,334.0,m,,257.0 km E of Ammochostos,74970,31.61,0.0,90.0,28.6,167.0,0.0,7.81,257.0,0.0,,,,,,,,"",2023-02-15T11:24:17.572Z,,,,Nanometrics,0.183,
athena_event_details,20230211-19,,2023-02-11T17:20:00Z,,0.48,36.531,35.94866666666667,,,4.1,Ml,35.62,39.46,15,16,341.0,m,Mediterranean Sea,239.0 km NE of Ammochostos,74967,39.54,148.0,86.0,7.23,327.0,3.0,2.64,57.0,0.0,,,,,,,,"",2023-02-15T10:17:27.378Z,,,,Nanometrics,0.183,
athena_event_details,20230211-6,,2023-02-11T11:51:43Z,,2.03,36.66833333333334,36.13333333333333,,,4.1,Ml,5.00,31.61,29,18,343.0,m,,262.0 km NE of Ammochostos,74971,31.61,0.0,90.0,28.08,142.0,0.0,9.33,232.0,0.0,,,,,,,,"",2023-02-15T11:42:55.300Z,,,,Nanometrics,0.304,
athena_event_details,20230211-13,,2023-02-11T07:55:42Z,,0.0,37.1578,36.9554,,,4.4,mb,10.00,0,0,0,0.0,m,,353.0 km NE of Ammochostos,74975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-15T12:02:46.490Z,,,,Nanometrics,0.0,
athena_event_details,20230211-8,,2023-02-11T04:47:04Z,,0.0,37.84,36.55,,,4.2,mb,5.00,0,0,0,0.0,m,,382.0 km NE of Ammochostos,74973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-15T12:02:07.220Z,,,,Nanometrics,0.0,
athena_event_details,20230211-7,,2023-02-11T00:24:42Z,,0.0,36.6164,36.4595,,,4.1,mb,10.00,0,0,0,0.0,m,,281.0 km NE of Ammochostos,74972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-15T12:01:49.255Z,,,,Nanometrics,0.0,
athena_event_details,20230210-6,,2023-02-10T17:00:52Z,,0.0,37.94,36.27,,,4.8,Mw,5.00,0,0,0,0.0,m,,376.0 km NE of Ammochostos,74964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-15T09:08:41.419Z,,,,Nanometrics,0.0,
athena_event_details,20230210-4,,2023-02-10T01:50:59Z,,0.0,37.8946,36.6174,,,4.7,mb,10.00,0,0,0,0.0,m,,390.0 km NE of Ammochostos,74962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-15T09:08:03.190Z,,,,Nanometrics,0.0,
athena_event_details,20230209-11,,2023-02-09T22:06:40Z,,0.0,37.0802,36.6771,,,4.2,mb,10.00,0,0,0,0.0,m,,328.0 km NE of Ammochostos,74940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-14T11:38:19.855Z,,,,Nanometrics,0.0,
athena_event_details,20230209-10,,2023-02-09T21:46:31Z,,0.0,37.2391,36.8327,,,4.1,mb,10.00,0,0,0,0.0,m,,350.0 km NE of Ammochostos,74939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-14T11:38:00.561Z,,,,Nanometrics,0.0,
athena_event_details,20230209-5,,2023-02-09T18:49:32Z,,0.49,36.064,36.55916666666667,,,4.1,Ml,35.00,31.61,16,19,337.0,m,,258.0 km NE of Ammochostos,74934,31.61,0.0,90.0,6.45,155.0,0.0,2.45,245.0,0.0,,,,,,,,"",2023-02-14T11:14:57.671Z,,,,Nanometrics,0.183,
athena_event_details,20230209-9,,2023-02-09T10:42:30Z,,0.0,37.2619,36.7948,,,4.4,mb,10.00,0,0,0,0.0,m,,349.0 km NE of Ammochostos,74938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-14T11:37:41.003Z,,,,Nanometrics,0.0,
athena_event_details,20230209-7,,2023-02-09T07:18:22Z,,0.0,37.2256,36.7143,,,4.8,mb,10.00,0,0,0,0.0,m,,341.0 km NE of Ammochostos,74936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-14T11:36:23.106Z,,,,Nanometrics,0.0,
athena_event_details,20230208-23,,2023-02-08T15:49:59Z,,0.0,37.84,36.61,,,4.3,mb,5.00,0,0,0,0.0,m,,385.0 km NE of Ammochostos,74932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-14T09:35:56.544Z,,,,Nanometrics,0.0,
athena_event_details,20230208-17,,2023-02-08T06:09:01Z,,0.6,36.52183333333333,35.55733333333333,,,4.4,Ml,17.00,38.09,27,22,338.0,m,,213.0 km NE of Ammochostos,74775,48.75,51.0,51.0,6.09,320.0,0.0,2.11,230.0,39.0,,,,,,,,"",2023-02-08T12:17:28.605Z,,,,Nanometrics,0.183,
athena_event_details,20230208-15,,2023-02-08T03:01:02Z,,0.0,37.0977,36.6917,,,4.3,mb,10.00,0,0,0,0.0,m,,330.0 km NE of Ammochostos,74925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-14T09:32:11.066Z,,,,Nanometrics,0.0,
athena_event_details,20230207-38,,2023-02-07T23:13:01Z,,0.9,35.896166666666666,36.230666666666664,,,4.4,Ml,33.00,75.66,29,28,333.0,m,,224.0 km NE of Ammochostos,74769,75.66,0.0,90.0,8.82,159.0,0.0,3.51,249.0,0.0,,,,,,,,"",2023-02-08T10:04:53.056Z,,,,Nanometrics,0.114,
athena_event_details,20230207-29,,2023-02-07T15:48:54Z,,0.0,37.9793,36.4638,,,5.0,Mw,10.00,0,0,0,0.0,m,,390.0 km NE of Ammochostos,74851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,"",2023-02-10T13:45:12.694Z,,,,Nanometrics,0.0,
